[weather, news]	查看汕头天气 讯飞语音我想知道山东省东营市今天的新闻。
[cookbook, train]	我要操虾米的做法。 北京到镇江的火车
[chat, email]	哪有雪 帮我写个邮件
[chat, video]	干嘛好 要看名侦探柯南
[chat, calc]	这个没什么吧 54的立方再加上35
[match, tvchannel]	7月13号广州恒大俱乐部的比赛有哪些 中国教育电视台三台
[video, app]	有你才幸福 酷狗音乐盒
[poetry, bus]	来一首咏柳。 吉林到大连的车。
[video, epg]	女人的颜色六十九集 北京台有什么好电视
[translation, epg]	我来自美国是一个地地道道的美国人用英语怎么说 昨天晚上湖南卫视演什么
[app, chat]	查找通讯录 我给你打电话行吗
[poetry, cookbook]	读一首古诗。 说话，给我搜一下做苹果麦片粥是怎么做啊？
[map, video]	湘潭到常德怎么走 看电影啊
[weather, tvchannel]	那会不会下雨 我看呀中央五台
[match, video]	播放，青岛中能的赛程。 动画片巴啦啦小魔仙
[chat, app]	什么评论呀 打开手机QQ恩
[video, cookbook]	韩国电视连续剧老大 爆炒猪肝怎么做？
[translation, cookbook]	橙子的英文怎么说 排骨堡汤的做法。
[cookbook, schedule]	然后等你杀猪菜怎么做？ 明天上午8:10叫我起床。
[email, novel]	我想写一个新邮件 给我讲个长篇小说。
[train, radio]	帮我查一下广州到深圳的火车 打开调频FM107南平人民广播电台
[stock, epg]	查询海螺水泥的股票 电视台在播什么节目
[cookbook, website]	王志排骨怎么做 我想看一下凤凰网
[chat, message]	出来约炮吗 发短信给幺零零八六内容是十一
[chat, cookbook]	你能干什么啊 西红柿炒蛋怎么煮？
[message, stock]	给何建琴发短信 搜索中国移动股票
[novel, flight]	我要看古典仙侠小说 帮我查一下深圳到桂林后天的机票
[chat, epg]	我可以帮你吗 中央一套什么时候有建党伟业
[epg, message]	快乐大本营什么时间播？ 发送短信给陈群
[tvchannel, app]	高清央视综艺 ﻿打开熊猫看书
[music, video]	我想亲亲我的宝贝这首歌 汉武大帝
[health, train]	肾积水怎么治？ 去广州的火车票
[website, health]	现在我也想上新浪网了 发烧。
[cookbook, telephone]	怎么做卤猪脚 打电话给卢静
[chat, video]	你明白什么 看东方
[epg, cookbook]	今晚什么节目呀？ 川崎玫瑰的制作方法
[message, poetry]	发短信给王小露的 来一首唐诗吗？
[bus, chat]	宁波到杭州的汽车 有什么用呢
[flight, chat]	贵阳到哈尔滨飞机 你需要吃东西吗
[tvchannel]	CCTV记录 高清央视综合频道
[flight, health]	帮我查一下明天广州到北京的航班。 甲亢怎么办？
[website, chat]	上山居网 你认识微软小冰吗
[chat]	怎么找女朋友 是不是只要我说话你就说话
[map, news]	查询沿途的KTV 讯飞语音我想知道山东省东营市今天的新闻。
[cookbook, chat]	酱茄条做法。 你明白什么
[chat, message]	你可以二十四小时陪我聊天吗 给张金波发短消息今天中午一起吃饭
[stock, poetry]	搜索中国移动的股市行情 给我背一首满江红。
[riddle, music]	搞笑谜语。 哦来一首青花瓷
[poetry, video]	再来背一首毛泽东的诗词。 想看韩剧
[datetime, poetry]	多少月之后就是过年了 张，来首白居易的诗。
[chat, poetry]	你能安慰我吗 我想听首唐诗。
[message, flight]	给园园发短信 上海到淮安的飞机
[poetry, news]	请背诵静夜思。 今天惠州新闻。
[translation, message]	我不在家英语怎么说 给刘三发短信说我今天没有空
[health, video]	得了艾滋病怎么办 地心历险记二
[translation, tvchannel]	小说英语怎么说 天津电视台的国际频道，拜托了哈
[video, calc]	五号特工组 十二与32的积是多少
[chat, app]	你认识吗 打开uc浏览器v八
[cookbook, health]	海参怎么做？ 发烧。
[chat]	笨笨你的底层是基于什么算法啊 你知道我的名字吗
[video, chat]	来一个选秀节目 你的好朋友是谁
[map, lottery]	到环都大酒店怎么走 七星彩
[poetry, video]	月咏牡丹的下一句，是什么？ 播放特种兵之利刃出鞘
[match, health]	哦，中超比赛时间三比五。 沙眼。
[weather, chat]	大连天气 库里是不是傻
[video, chat]	查最近的电影。 干嘛去
[message, epg]	给谢小培发短信今晚一起吃饭 8点河北卫视播放过恋了爱了
[website, chat]	打开宽带商务网站 这是啥啊
[video, stock]	最近有什么好看的电视连续剧武打的。 查下银星能源股票
[tvchannel, video]	我要看湖南台 最近有什么好看电影了？
[contacts, cookbook]	把王世怀的号码发给乔丽君 怎么做卤猪脚
[cookbook, bus]	扁豆豆角怎么烧？ 济南去聊城的汽车。
[map, train]	到鼓楼怎么走 查一下那个南京到昆明的火车
[stock, chat]	查询科大讯飞的股价 你啥时候出现的
[train, news]	去枣庄的火车 播放最近新闻。
[cookbook, chat]	怎么做煎饼？ 你明白什么
[train, epg]	查询柳州到昆明的列车 昨天晚上湖南卫视演什么
[weather, video]	今天柳州天气怎么样 我的幸福
[map, poetry]	从观音桥到重庆市图书馆怎么走 说一首唐诗吧！
[train, chat]	帮我查询一下温州到上海的火车 讲个笑话吗
[cinemas, flight]	最近有什么热门的电影？ 到北京的飞机。
[weather, cookbook]	庐山天气 凉皮的制作方法。
[health, chat]	宫外孕怎么办？ 我美么
[flight, chat]	儋州到海口的航班 你需要吃东西吗
[cookbook, weather]	怎么做水煮鱼店？ 今天全椒天气怎么样
[map, message]	宁乡到长沙怎么走 发信息给健美
[weather, train]	常州天气预报 去广州的火车票
[calc, weather]	根号3是多少 明天的天气
[poetry, map]	来一首李煜的词。 帮我搜一下科大讯飞在哪
[telephone, epg]	打电话给之山 湖南卫视放什么节目？
[message, chat]	发信息给盛吉 唠什么
[flight, radio]	查询明天南阳到上海的航班 打开调频FM107南平人民广播电台
[novel, email]	我要看魔法神话小说 给我写一个新邮件
[map, stock]	帮我搜一下科大讯飞在哪 永辉超市股份的价格
[lottery, chat]	查七乐彩开奖结果 唠什么
[chat, poetry]	你认识我吗 我想听首唐诗。
[health, video]	包茎怎么办？ 搜索国外大片
[website]	你帮我打开网站 现在我也想上新浪网了
[tvchannel, music]	江苏影视 播放眼色
[health, riddle]	梅毒怎么治疗？ 也来个灯谜吗？
[chat, translation]	喜欢男孩还是女孩 翻译爸爸
[health, epg]	静脉曲张怎么治疗？哦？ 上周六发现之旅有演星跳水立方呢
[chat, train]	你这答复逻辑也是没谁了 查一下杭州到鹰潭的火车票
[match, stock]	中超赛事预告吗？ 中国太保股票
[chat]	你希望我分手吗 你认识宫庆红么
[chat, stock]	马家沟是个好学校吗 居然股份股票怎么样
[video, chat]	查一下最近有什么电影？ 午饭怎么办
[chat, train]	怎么教你变聪明 广州到孝感的火车
[epg, riddle]	看当前直播的比赛 讲一个谜语和答案。
[app, novel]	赶集 我要看饶雪漫的小说左耳
[datetime, train]	武汉的精确时间是 潜山到福州的火车
[cookbook, email]	恩，红烧土豆怎么做我想学？ 我要查看邮件
[chat, app]	你最近干嘛呢 有道词典
[chat, telephone]	我不确定具体啥时间去呢 给高兴打电话
[video, chat]	影视流星花园 你喜欢有钱人吗
[cinemas, lottery]	最近有什么新上映的电影啊？ 帮我查一下2013年2月8日开奖的15选5中奖号码
[cookbook, schedule]	石螺怎么煮 查看最近的日程
[health, website]	肩周炎，要怎么治疗。 打开苹果香港官方网站
[health, stock]	湿疹怎么处理？ 科大讯飞今天的股票
[translation, novel]	你今天去了哪里用英文怎么讲 郭敬明的爱情小说《悲伤逆流成河》
[music, poetry]	我想听歌曲传奇 哪里香我来一首李白的诗。
[message, cinemas]	发短信给王亮说死人你在干什么呢 找下最近最热播的电影。
[video, chat]	请帮我查找一下奥特曼大电影 青蛙在做什么
[riddle, video]	来一个字谜，二。 最近有什么科幻电影？
[tvchannel, novel]	我要看中央五台 我要看现代重生小说
[telephone, poetry]	打电话给魏文强 来一首唐诗吗？
[riddle, map]	你给我说几个谜语。 我想到科大讯飞怎么走
[chat]	男人好吗 可什么爱我在骂你好吗
[chat, epg]	你认识微软小冰么 现在电视台在放什么节目
[cookbook]	辣酸菜鱼怎么做了。 豆腐花的做法。
[music, video]	我想听首歌 命运派对
[news, contacts]	答复，我要听新闻。 潘靖的电话是多少
[poetry, video]	呵呵，背首诗来听。 歧路兄弟
[map, website]	合肥百货大楼在哪里 浏览一下百度
[website, video]	赶集网 看千金归来第五集
[calc, video]	123和34的差等于多少 狸猫换太子
[chat]	你是巧妇还是米 杜雨萌学姐是谁
[news, calc]	我想听昨天晚上的新闻。 15加上2的平方
[app, website]	帮我打开电话本 宜家
[chat]	讲个笑话吗 什么评论呀
[chat, message]	林芝吃什么 给黄尚君发短信
[epg, chat]	周六晚上重庆卫视有转播神探高伦布吗 学什么
[epg, chat]	8点河北卫视播放过恋了爱了 嘿干嘛呢
[epg, translation]	搜索电视剧爱情悠悠药草香在哪个频道首播？ 一加一用英语怎么说
[chat, contacts]	这么夸张 潘靖的电话是多少
[epg, tvchannel]	哪个电视台在放神雕侠侣。 远教四台
[chat]	唠什么 跳的人我想要了吗
[poetry, schedule]	ok好，来首李白的诗词。 明天早晨8:10的闹钟。
[chat, poetry]	你告诉我为什么 朗读咏雪
[lottery, telephone]	七星彩 幺三八五幺二九二四幺四
[chat]	丰田车在哪里生产的？ 你怎么知道我不知道
[music]	我想听莫失莫忘。 播放郁可唯的歌
[poetry, map]	背诵一首唐诗 鹰潭到景德镇
[news, chat]	今天东莞新闻。 你喜欢老师吗
[train, tvchannel]	明天南京到徐州的火车 我要看c c t v一
[poetry, cookbook]	我想听首唐诗。 教我做馒头。
[video, telephone]	花开半夏 打电话给小女儿
[epg, riddle]	给我搜搜什么电视台什么时间有转播神探高伦布 脑筋急转弯，孙。
[chat, poetry]	嗯我帮你啥 请念一首毛泽东诗词。
[cookbook, epg]	蒜苔的做法 中央电视台少儿频道大耳朵图图
[video, cookbook]	一个鬼子都不留 糖醋鲤鱼怎么做？而？
[cookbook, stock]	烤牛排怎么做？ 我要查股票
[cookbook, chat]	番红烧肉的做法。 巩捷甫是谁
[health, telephone]	乳腺炎。 给吴方婷打电话
[chat, telephone]	可是我问你啥都听不懂啊 打电话给郑艺红
[email, music]	全部应答 我想听蔡依林的倒带这首歌
[chat, tvchannel]	谁在雪里跑 中央十一台
[chat, tvchannel]	单个词是什么情况 哦我想看中央一台
[poetry, radio]	那你爸给我背一首唐诗了。 98.4香港电台第四台
[map, chat]	去科大讯飞怎么走 什么东西
[train, health]	明天有火车到襄阳吗 胆结石怎样治疗。
[flight, bus]	明天温州到上海的航班。 上海到合肥可以到哪坐车
[chat]	你喜欢老师吗 宝宝你这是在卖萌吗
[cookbook, email]	烤鸡翅怎么做？ 我想写一个新邮件
[train, stock]	查询昆明到合肥的火车 查下银星能源股票
[chat, telephone]	你爱哈工大吗 拨打幺三九七七零九八七七六
[cookbook, flight]	面包的配方。 查询一下明天广州到武汉的航班
[contacts, cookbook]	把李文鼎的号码发给谢服全 怎么做京酱肉丝。
[chat, epg]	聊些什么呢 非诚勿扰什么时候演啊
[chat, app]	什么是色 打开sky电话
[cookbook, riddle]	米饭怎么做 查个字谜。
[chat, music]	这是谁唱的歌？ 搜索电视剧插曲
[translation, riddle]	福尔摩探案急翻译成英文 爆笑谜语
[cookbook, stock]	怎样炒肉。 搜索蒙牛的股市行情
[app, chat]	酷狗音乐盒 你知道水吗
[video, cookbook]	杨三姐告状 新奥尔良烤翅的做法
[chat]	男朋友总借钱怎么办 干嘛好
[chat, app]	怎么操作 金山词霸
[epg, chat]	今天什么好看电影？ 你是不是爱上别人了
[radio, app]	肥东人民广播电台调频FM101.3 上QQ我
[chat, poetry]	你端午节放假么 来一首白居易的长恨歌
[poetry, chat]	人之初，性本善下一句是什么？ ﻿你好慢吗！
[match, epg]	我想看足球中超，第25轮的比赛时间。 中央六台有什么节目
[chat, music]	你会唱歌吗 想听牵手这首歌
[cookbook, video]	土豆的做法 我想看斯皮尔伯格导演的电影
[calc, chat]	2平方 不多不要紧都会什么
[music, translation]	帮我查一下周杰伦的歌 我今天去北京了英语怎么说
[video, website]	江山 聚友网
[poetry, chat]	思春夜喜雨下一句是。 怎么调用QA
[bus, epg]	吉林到大连的车。 前两个星期时代出行有播X女特工呢
[cookbook, radio]	民间小炒肉的做法。 调幅am六百二十八
[datetime, cookbook]	现在星期几 炖肉
[train, chat]	到北京的火车班次 爱我什么
[chat, music]	什么太美了 哦来一首青花瓷
[flight, health]	帮我订一张杭州到上海的机票 介绍一下尖锐湿疣
[cookbook]	赵包子怎么做的，你？ 花格等蛋的做法。
[telephone, poetry]	给张张打电话 背一首春晓
[chat]	还是不用了吧 我是你什么人
[app, message]	打开应用漫画 发信息给健美
[chat]	爱我什么 哪里找小姐
[poetry, video]	来一首七言绝句。 中国最强音
[chat]	我没去哪儿啊 你的啥啊
[translation, cookbook]	五用英语怎么说 田螺怎么炒啊？
[cookbook, cinemas]	回锅肉。 最近有什么新上映的电影啊？
[chat, tvchannel]	李亚丽的工作是什么 央3
[poetry, chat]	来一首唐诗吗？ 还是笨笨的
[news, email]	打开腾讯头条新闻 我想写一个新邮件
[chat]	北京的天气好吗 你妹叫傻傻么
[news, datetime]	姨，最近有什么新闻。 哪天清明节
[cookbook, video]	要怎么煮饭。 查找90年代好评的武侠电影
[lottery, health]	搜索大乐透的中奖号码 胃溃疡。
[news, app]	请问一下军事新闻。 打开uc浏览器登录新浪网主页
[chat, health]	能告诉我你的性别么 静脉曲张怎么治疗？哦？
[chat, cookbook]	雨点怎么样 还路阻少茶汤的做法。
[health, chat]	得了肝癌怎么办？ 谁在雪里跑
[cookbook, riddle]	酸辣汤的做法。 你给我说几个谜语。
[map, video]	导航到建八路 我想看斯皮尔伯格导演的电影
[chat, riddle]	我看你还是不太行 猜个谜语哦。
[map, tvchannel]	导航到佛山大良汽车站 调到新疆综艺
[news, cookbook]	我要听新闻，给我数。 怎么做水煮鱼店？
[chat, video]	哪里找小姐 胜者即是正义
[chat, cookbook]	还是想知道你能做些什么 然后等你杀猪菜怎么做？
[epg, video]	收看安徽卫视节目。 看动物卡通
[news, message]	讲点新闻 给周玉发短信
[epg, flight]	我想看中央六台的电影。 查询一下明天广州到武汉的航班
[translation, email]	你好丑用英文怎么说 替我打开新邮件
[train, poetry]	从长沙到北京的列车 所以说李白的诗。
[message, epg]	发短信 昨天的北京新闻
[novel, tvchannel]	查找校园小说沙漏第二部 高清央视综艺
[news, train]	讯飞语音我想知道山东省东营市今天的新闻。 查查一下连江到湛江的火车票
[cookbook, music]	凉皮的制作方法。 我想亲亲我的宝贝这首歌
[music, video]	来一首宝贝对不起 妈妈的花样年华
[music, translation]	我想听老婆这首歌 我们做爱吧用英文怎么说
[flight, telephone]	到武汉的航班 幺三五八四四七零五零二
[chat, schedule]	你研发团队有些谁 晚上8:10叫我起床。
[chat, video]	你爱吃吗 打开节目搜索
[cookbook, news]	鱼香肉丝，怎么做？买？ 播新闻，湖南新闻。
[epg, video]	现在电视台在放什么节目 青春期撞上更年期二
[map, music]	往火车北站怎么走 我想听只对你有感觉
[cookbook, music]	怎么弄红烧肉哦？ 我想听蔡依林的倒带这首歌
[chat, cookbook]	为什么要请你 孙翠鱼怎么做？
[email, match]	我想全部回应 江苏舜天队这个星期的比赛时间给我找出来
[chat]	还能聊点啥呢 我咋不知道这事儿呢啊明星啊之心知肚明啥意思
[music, chat]	搜索电视剧插曲 怎么不懂讲晚安呢
[tvchannel, riddle]	我看呀中央五台 给我讲一个谜语吧！
[train, chat]	深圳至合肥的火车票 在哪里出门右转
[music, cookbook]	放一首其实我介意 昌鱼的做法
[video, chat]	你好我想看电影 你知道小宝宝上幼儿园哭吗
[chat]	王石的事你怎么看 是不是只要我说话你就说话
[video, cookbook]	铁甲钢拳 虾仁饭。
[poetry, video]	你给我背一首白居易的诗。 古惑仔
[match, chat]	2013年中国男足，主要赛程。 笨笨你的底层是基于什么算法啊
[cookbook]	手抓饼的做法。 红烧猪脚怎么做啊？
[map, message]	带我去新都会 发短信给幺五八三七五幺幺幺四幺
[poetry, chat]	学而不厌，下一句是什么？ 聊些什么呢
[tvchannel, video]	我想看c c t v 一频道 看乡村爱情
[website, video]	给我打开百度网 死亡复生
[chat, music]	这么任性 放歌，天亮了。
[weather, chat]	查一下绵阳的天气预报 这不是你的名字吗😂
[health, riddle]	怎么治疗牛皮癣 来一个灯谜，你。
[chat, video]	你知道小宝宝上幼儿园哭吗 90年代林心如演的电视剧
[bus, chat]	上海到合肥可以到哪坐车 从哪回来
[epg, chat]	可不中央五套明天的节目单 你还能做什么
[video, chat]	看看最近有什么电影？ 你叫什么啊
[train, chat]	广州去昆明的火车 何超盈是谁
[contacts, chat]	把平水相逢的手机号码发给8000 你只会说这些吗
[video, map]	最近有什么好看电影了？ 查一下沿途的科大讯飞
[website, health]	把淘宝网打开 肠易激综合征。
[cookbook, health]	烧排骨汤需要什么调料？ 近视眼怎么治疗
[cookbook, lottery]	故宫鱼怎么做？ 查七乐彩开奖结果
[contacts, video]	新建联系人姓名张三号码一二三四五六七八 薛平贵与王宝钏
[translation, riddle]	庞军军英语怎么说 讲一个谜语和答案。
[epg, website]	查查最近一周CCTV-4美洲有放我爱记歌词么 把我打开淘宝的网页
[schedule, chat]	提醒我明天约了。 嗨吃晚饭了吗
[message, chat]	给马翊桐发信息 你端午节放假么
[chat, health]	那你喜欢做机器人么 包茎怎么办？
[stock, message]	搜索中国移动股票 给靖哥哥发短信说我不回来吃饭了
[lottery, chat]	买三注星期四开奖的七乐彩 恋爱着东西很玄虚，谁都说不准
[video, radio]	正者无敌 能不能帮我接听中广流行网
[video, app]	播放神话 打开天天动听播放站你名下
[train, contacts]	温州到瑞昌的火车 把张玉娟的手机号码发送给吴伟
[riddle, message]	让我猜个谜语。 发条短信给张亚东
[novel, tvchannel]	你能搜到小说不？ 陕西二套
[telephone, message]	打电话给张志国 发短信给刘文说明天下午五点有聚会
[health, contacts]	类风湿怎么治？ 把李志强的号码发给贾洪鉴
[cinemas, telephone]	找下最近最热播的电影。 给张张打电话
[calc, email]	123和34的和等于多少 我想要转发这封邮件
[tvchannel, map]	天津电视台的国际频道，拜托了哈 去科大讯飞怎么走
[telephone, chat]	四八七三一六六 在哪里出门右转
[cookbook, chat]	语音火锅怎么做啊？啊？ 这不是你的名字吗😂
[chat]	提是谁 你平时吃什么
[chat]	太阳像个什么 你和小冰有什么不一样
[cookbook, match]	煲鸡汤呢 中超赛事预告吗？
[stock, chat]	安徽合力股票 要怎么打你
[chat, map]	你为啥叫笨笨 沿途有没有加油站
[poetry, website]	老朗诵首古诗。 四川新闻网
[chat, video]	学什么 命运派对
[radio, chat]	请帮我调频97.5湖南人民广播电台文艺台 怎么教你变聪明
[cinemas, tvchannel]	最近的新电影有哪些？ 高清央视综艺
[telephone, cookbook]	给吴方婷打电话 基尾虾怎么做？
[video, epg]	康熙大帝 中央一套什么时候有建党伟业
[telephone, music]	打电话零九一零二五六五三五四 帮我查一下周杰伦的歌
[match, chat]	广州恒大亚冠联赛，比赛时间。 可是我不喜欢你了两个亿你你一点也不忙啥子
[flight, website]	帮我查一下杭州到长春的飞机航班 聚友网
[cookbook, video]	怎么做京酱肉丝。 我想看爱情闯进门
[chat, app]	你想他干嘛 打开系统软件清理
[flight, news]	后天去武汉的航班 播放最近的新闻。
[schedule, video]	帮我设定8:10的闹钟。 电视剧火凤凰
[message, calc]	呃发信息给周玉豪 3的平方除以2的立方的商的倒数
[chat, schedule]	谁写的你 明天上午8:10叫我起床。
[cookbook]	肉沫茄子，怎么做？ 做红酒怎么做啊？
[website, chat]	心绝网上人间 出来约炮吗
[translation, health]	翻译慷慨激昂 介绍一下尖锐湿疣
[contacts, chat]	把李志强的号码发给贾洪鉴 你认识微软小冰么
[chat, video]	你喜欢喝什么茶呀 搜索最近的，科幻电影。
[epg, video]	明天晚上湖南卫视演什么电视剧 猫眼三姐妹
[chat]	买几瓶 你听说过这句名言吗
[health, flight]	尿道炎怎么办 八月十一日从厦门飞往上海的航班
[poetry, health]	说一首唐诗吧！ 发烧。
[poetry, translation]	不是花中偏爱菊的下一句是什么？ 你怎么了英文怎么讲
[chat]	你喜欢玩什么游戏啊 绿色的啥
[cookbook, riddle]	土豆粉怎么做？ 脑筋急转弯呗！
[video, chat]	搜王菲演唱会 聊些什么呢
[translation, epg]	腿英文怎么说 给我看看什么时候有播盛夏晚晴天
[video, tvchannel]	看看郑晓龙导演的甄嬛传 我想看c c t v 一频道
[cookbook, chat]	凉面。 那你现在可以干啥
[bus, telephone]	上海回合肥怎么坐汽车 打电话到飞云
[match, riddle]	NBA比赛时间。 给我搜索脑筋急转弯。
[message, cookbook]	给青发短信 川崎玫瑰的制作方法
[riddle, contacts]	再来一个脑筋急转弯 新建联系人振华奎号码是幺三五零八九四九三幺二
[video, poetry]	海棉宝宝 来一首唐诗吗？
[translation, radio]	我正在睡觉用英语怎么说 肥东人民广播电台调频FM101.3
[cookbook, music]	酸菜是怎么做的可以用塑料布。 我想听11年，这首歌哦。
[message, translation]	发信息给董昊老婆 翻译一下明天我跳河自杀
[stock, chat]	查询洛阳钼业的股票 不这样称呼你怎么样呢
[news, chat]	播放最近的新闻。 秋娃娃写信给谁
[website, bus]	打开苹果香港官方网站 宁波到杭州的汽车
[cinemas, cookbook]	查一查上影电影院即将上映的影片 豆腐花的做法。
[train, telephone]	帮我在百度里搜一下东莞到北京的火车 打给曾玮文
[chat]	出门去年是个这么快呀 为什么要请你
[stock, flight]	居然股份股票怎么样 明天去桂林的航班。
[chat, calc]	你考试挂科怎么办 帮我算一算45的平方根
[poetry, riddle]	我要听宋词。 啊脑筋急转弯啊
[cookbook, tvchannel]	给我讲个笑话吧，鱼香肉丝怎么做？ 海南旅游卫视
[poetry, weather]	雄关漫道真如铁下一句是什么？ 查看汕头天气
[chat]	可是我不喜欢你了两个亿你你一点也不忙啥子 你有喜欢的人吗
[chat, translation]	你知道北京他们吗 早点死英文怎么翻译
[tvchannel, match]	央3 2013年中国男足，主要赛程。
[chat, match]	谁骂你 NBA比赛时间。
[music, website]	我要听情动这首歌。 心绝网上人间
[stock, chat]	我想知道科大讯飞的市值 你告诉我为什么
[riddle, cookbook]	讲个谜语猜一下。 烤牛排怎么做？
[cookbook, health]	怎么做冰激凌？ 大肠癌
[contacts, chat]	把张新涛电话发给常胜宾 何超盈是谁
[weather, video]	天气南京 电影中国合伙人
[train, novel]	厦门到赣州的火车票 赶紧推荐一部小说。
[epg]	非诚勿扰什么时候演啊 咱们结婚吧什么时候播出
[cookbook, flight]	红烧猪蹄怎么做 明天回广州的航班
[novel, lottery]	我要看免费的小说。 七星彩
[schedule, website]	明天上午8:10叫我起床。 打开杜鑫文的网站
[flight, weather]	八月一号去上海的航班 北流的天气
[chat, flight]	那你想当男生还是想当女生 帮我查一下广州到长沙的航班
[video, translation]	李瑞英主持的最新的新闻节目 大家今天心情如何用英语怎么说
[cookbook, match]	猪肚鸡怎么做啊？ 中超赛事预告吗？
[chat, flight]	喂喂能听我说话吗 青岛到广州航班
[match, chat]	中超比赛结果，今天呢？ 你什么时候去北京
[cookbook, flight]	如何做西红柿炒蛋。 大连飞往上海的航班
[chat, epg]	多推荐几个吧 搜一下CCTV74月15号播出新编辑部的故事呢
[cookbook, chat]	新疆大盘鸡的做法。 然后你转了么
